codigo_estudiante,pretest,postest
M01,12,12
M02,11,16
M03,13,16
M04,16,19
M05,10,15
M06,10,16
M07,16,20
M08,13,15
M09,10,13
M10,13,18
M11,10,16
M12,10,13
M13,12,16
M14,5,7
M15,6,8
M16,9,15
M17,8,15
M18,12,16
M19,8,14
M20,7,12
M21,15,18
M22,10,15
M23,11,18
M24,7,11
N01,9,16
N02,11,10
N03,8,14
N04,12,16
N05,9,12
N06,10,14
N07,9,9
N08,17,20
N09,11,16
N10,8,15
N11,13,16
N12,7,9
N13,12,15
N14,5,11
N15,7,12
N16,12,15
N17,13,18
N18,12,16
N19,11,17
N20,10,13
N21,7,10
N22,9,12
N23,10,11
N24,14,19
N25,12,17
